"","Fiscal_year","ContractingOfficeCode","obligatedAmount","numberOfContracts","hh_index_obl","hh_index_k"
"3240",2002,"0400",1814797011,17172,2322.92359839846,2349.20596744987
"3241",2002,"04000",152505,11,10000,2892.56198347107
"3242",2002,"04101",69000,1,10000,10000
"3243",2002,"04146",490000,16,2538.35901707622,3125
"3244",2002,"041M9",25000,1,10000,10000
"3245",2002,"04216",226000,25,2068.2903907902,1456
"3246",2002,"0421E",87000,86,10000,10000
"3247",2002,"04232",273000,24,4411.83968656496,3229.16666666667
"3248",2002,"04283",529000,13,2964.64778213343,2426.03550295858
"3249",2002,"04310",1389000,15,8851.10875795163,3777.77777777778
"3250",2002,"0435H",1491000,25,2506.04903734952,1776
"3251",2002,"04384",3239000,57,2282.13267199949,1086.48815020006
"3252",2002,"04389",295000,17,3308.35966676242,1626.29757785467
"3253",2002,"043YK",121000,6,10000,10000
"3254",2002,"043ZP",9804672.9297,83,3192.51819860735,2053.99912904631
"3255",2002,"04423",4051000,25,9556.10644607105,9232
"3256",2002,"04431",4656000,85,1350.52063036573,856.747404844291
"3257",2002,"04463",270000,16,3856.51577503429,2187.5
"3258",2002,"0447U",9753000,243,2204.65312768076,3242.22256092398
"3259",2002,"044U9",61000,2,10000,10000
"3260",2002,"0453B",47000,7,10000,10000
"3261",2002,"04568",8562000,148,1557.68378619892,1982.28634039445
"3262",2002,"045ZE",236000,34,1077.27664464234,847.750865051903
"3263",2002,"04604",138000,9,2565.63747111951,1358.02469135802
"3264",2002,"04639",1002000,21,5388.00642228517,4376.41723356009
"3265",2002,"04660",2000,1,10000,10000
"3266",2002,"04670",80000,2,5153.125,5000
"3267",2002,"046W",29928,3,5193.66235268663,5555.55555555555
"3268",2002,"04740",135000,3,4374.75994513032,3333.33333333333
"3269",2002,"04741",309000,3,10000,10000
"3270",2002,"04756",1829000,20,2367.39595144266,1250
"3271",2002,"0490",57059555,587,2544.24522086333,1830.89598890208
"3272",2002,"04H1",3625,1,10000,10000
"3273",2002,"04KK",700,1,10000,10000
"3274",2002,"04M3",520,2,10000,5000
"3275",2002,"04N0",141959,6,6006.08948719264,5555.55555555555
"3276",2002,"04T1",304696,2,9782.33372213146,5000
"3277",2002,"04U3",12762,1,10000,10000
"3278",2002,"0500",936743275,9603,874.056774826894,801.769540565729
"3279",2002,"05000",0,5,0,2800
"3280",2002,"05114",5891000,89,1740.84593017133,953.162479484913
"3281",2002,"05164",129000,13,3233.57971275765,4437.86982248521
"3282",2002,"051A8",341000,15,1588.30763409327,1644.44444444444
"3283",2002,"05240",27000,1,10000,10000
"3284",2002,"052B1",339000,6,6039.01810809165,3888.88888888889
"3285",2002,"052KY",23000,2,10000,10000
"3286",2002,"0531A",1069000,31,1144.04499278502,1342.3517169615
"3287",2002,"05680",962000,22,2396.12553541867,2892.56198347107
"3288",2002,"0569R",2364000,63,1599.62179448639,995.212899974805
"3289",2002,"056A1",4176000,324,6732.17739390203,8925.84971803079
"3290",2002,"05A12",666000,11,10000,10000
"3291",2002,"05C16",31000,1,10000,10000
"3292",2002,"05D21",70000,2,10000,10000
"3293",2002,"05E34",1285000,10,7590.87949855411,5200
"3294",2002,"05F48",574000,9,10000,10000
"3295",2002,"05G1",13347,4,5917.8269560731,3750
"3296",2002,"05G2",22715,1,10000,10000
"3297",2002,"05K3",95287,3,6306.74982177755,5555.55555555555
"3298",2002,"05M6",25312,2,8938.84226871401,5000
"3299",2002,"0600",5886374413,1486,5211.83770249282,3227.92904253064
"3300",2002,"06000",44851732,38,5136.45455873544,3919.6675900277
"3301",2002,"06114",443000,6,5007.3630948438,7222.22222222222
"3302",2002,"06125",1981000,85,1728.63556640177,848.442906574394
"3303",2002,"062KZ",9000,1,10000,10000
"3304",2002,"06395",53368000,340,910.598026119628,265.22491349481
"3305",2002,"063A9",2392000,52,2188.98558181676,2130.1775147929
"3306",2002,"063PX",2637000,30,1663.86458911707,955.555555555556
"3307",2002,"06424",5504000,29,7953.20699639163,5053.50772889417
"3308",2002,"0645S",11658000,85,1983.83794611222,1039.44636678201
"3309",2002,"064KX",28607000,70,2488.29440925242,1102.04081632653
"3310",2002,"064PP",411000,8,8523.09659544994,7812.5
"3311",2002,"06526",1520000,34,6431.69148199446,6280.276816609
"3312",2002,"065T0",225000,10,3693.62962962963,1600
"3313",2002,"06612",406000,11,6035.08942221359,2561.98347107438
"3314",2002,"06613",94000,16,5516.07062019013,1953.125
"3315",2002,"06658",220000,4,7778.51239669421,6250
"3316",2002,"06740",109000,4,10000,10000
"3317",2002,"067T0",5721255.6875,73,2092.41508454254,1619.44079564646
"3318",2002,"0700",855623198,9906,574.413635841203,529.925372802751
"3319",2002,"07000",5106785,8,9506.57117328608,1562.5
"3320",2002,"07103",86000,6,10000,10000
"3321",2002,"0719U",3000,1,10000,10000
"3322",2002,"07217",829000,9,6635.61981895725,2839.50617283951
"3323",2002,"07245",10855000,108,1344.07309110652,1088.82030178326
"3324",2002,"07399",46000,2,5236.29489603025,5000
"3325",2002,"073EZ",29000,1,10000,10000
"3326",2002,"07442",2637000,14,9606.10713413115,8673.4693877551
"3327",2002,"0744L",350000,45,2354.44897959184,6039.50617283951
"3328",2002,"07482",49000,1,10000,10000
"3329",2002,"07512",2190000,30,2803.7530493526,2488.88888888889
"3330",2002,"07A12",404000,24,6059.82256641506,6701.38888888889
"3331",2002,"07C04",61000,11,1378.66165009406,909.090909090909
"3332",2002,"07C22",31000,1,10000,10000
"3333",2002,"07C27",23000,1,10000,10000
"3334",2002,"07D15",53000,1,10000,10000
"3335",2002,"07D28",278000,12,2320.27327778065,1666.66666666667
"3336",2002,"07D74",30000,1,10000,10000
"3337",2002,"07D79",153000,5,5090.77705156136,2800
"3338",2002,"07MN1",1004000,19,3230.28602720592,2576.17728531856
"3339",2002,"08156",667000,11,1845.69634223368,1570.2479338843
"3340",2002,"08167",1811000,21,1728.101262272,1020.40816326531
"3341",2002,"08173",6003000,50,8006.20928915852,3240
"3342",2002,"08180",677000,10,2864.90708639427,1600
"3343",2002,"08191",553000,12,2605.12280541122,972.222222222222
"3344",2002,"08197",3145000,41,1914.51846497203,1279.000594884
"3345",2002,"081J8",113000,3,3531.20839533245,3333.33333333333
"3346",2002,"081K1",79000,1,10000,10000
"3347",2002,"08241",27000,2,10000,10000
"3348",2002,"082AK",43000,4,4040.0216333153,3750
"3349",2002,"082BH",198000,5,3025.7116620753,2800
"3350",2002,"082CS",140000,2,10000,10000
"3351",2002,"082FT",6283250,246,1085.80410545584,2704.0782602948
"3352",2002,"082HW",6547000,81,1412.25987069704,1239.14037494284
"3353",2002,"082MK",1014000,23,1025.3298009329,888.468809073724
"3354",2002,"082TS",74370000,97,2496.83686926075,1778.08481241365
"3355",2002,"082X9",38388800,462,636.469278331481,1173.98474541332
"3356",2002,"08371",8803000.3125,231,1561.93604573908,2986.26337587377
"3357",2002,"08379",4292000,31,1872.02246273654,2903.22580645161
"3358",2002,"08399",3721000,27,4147.03231100227,3168.72427983539
"3359",2002,"083A7",853000,6,5278.42563794565,2222.22222222222
"3360",2002,"083D5",4663000,41,1972.37583213685,1160.0237953599
"3361",2002,"083LO",316000,4,9381.50937349784,2500
"3362",2002,"08417",18000,8,2592.59259259259,1562.5
"3363",2002,"08429",162000,8,10000,10000
"3364",2002,"08447",314000,2,10000,10000
"3365",2002,"08490",5000,2,5200,5000
"3366",2002,"08499",548000,18,7674.09025520805,3456.79012345679
"3367",2002,"084M8",13703684,341,2897.06363472448,3196.30894127157
"3368",2002,"084N8",11609758,150,731.014116527972,510.222222222222
"3369",2002,"08520",97000,3,5000.53140610054,5555.55555555555
"3370",2002,"08B05",1761000,38,9775.43604393379,9487.53462603878
"3371",2002,"08C30",4669000,1,10000,10000
"3372",2002,"0900",468299123,7297,857.295028795634,664.678869438386
"3373",2002,"09000",0,2,0,5000
"3374",2002,"09156",142000,2,6749.65284665741,5000
"3375",2002,"091H2",693000,26,7580.17195246633,6005.91715976331
"3376",2002,"091S8",28371731.4577,281,1583.79941177375,1147.52852674105
"3377",2002,"091T5",2680000,12,1436.6367787926,972.222222222222
"3378",2002,"091U4",3452000,8,2613.57044936081,2500
"3379",2002,"091U9",4554000,106,863.753920407412,557.137771448914
"3380",2002,"091W2",554000,3,5258.63754251978,5555.55555555555
"3381",2002,"091W8",1363000,47,1715.66540296452,1833.40878225441
"3382",2002,"091Y9",356000,11,6522.6928418129,5702.47933884298
"3383",2002,"091Z9",2939000,28,4764.71861038346,2831.63265306122
"3384",2002,"09360",2313000,31,2015.43759917934,822.060353798127
"3385",2002,"094TZ",4856000,45,1868.52546063063,953.086419753086
"3386",2002,"095CV",6021000,70,1973.78074486074,1338.77551020408
"3387",2002,"0960",84214,1,10000,10000
"3388",2002,"09A13",9146000,64,4495.29437873706,3173.828125
"3389",2002,"09A14",679000,2,10000,10000
"3390",2002,"09A23",525000,7,4797.93197278912,3061.22448979592
"3391",2002,"09A28",6171000,131,3451.19863105817,4183.32265019521
"3392",2002,"09A40",3052970,26,1943.73589897536,1094.67455621302
"3393",2002,"09A47",2344000,82,5055.22127216409,4458.65556216538
"3394",2002,"09A55",634000,18,7747.36538327578,7098.76543209877
"3395",2002,"09A63",9521000,60,4065.06566322897,1988.88888888889
"3396",2002,"09JHA",3055000,32,9967.33313365968,8242.1875
"3397",2002,"09JNE",7723000,36,2554.43880045125,956.79012345679
"3398",2002,"0BGMD",385953000,260,8972.0827910995,5248.81656804734
"3399",2002,"0DPDV",89254000,282,1778.34948505069,2413.10799255571
"3400",2002,"0EODV",588381000,810,2465.25987988127,2961.4388050602
"3401",2002,"0KCDD",55439000,51,5002.16700258456,4817.37793156478
"3402",2002,"0M00",4854,2,10000,10000
"3403",2002,"10000",92489207.5256,352,1390.16418279209,1080.19111570248
"3404",2002,"1001",1843413,4,3158.99610979036,2500
"3405",2002,"10020",1385876,9,4602.55756435597,1358.02469135802
"3406",2002,"10101",1338000,29,1252.04162114215,915.576694411415
"3407",2002,"10202",1538000,23,1484.81838192161,812.854442344045
"3408",2002,"10303",3465000,40,1118.33736249321,1575
"3409",2002,"10407",4103000,14,4126.3832506887,1632.65306122449
"3410",2002,"10502",444000,14,1968.99602305008,2244.89795918367
"3411",2002,"10607",4903000,40,2701.6758190686,600
"3412",2002,"10611",5600,1,10000,10000
"3413",2002,"10703",2838000,42,1898.61146496183,1995.46485260771
"3414",2002,"109",688902,14,7416.21970493924,3163.26530612245
"3415",2002,"10907",3299474,67,1621.50995699484,666.072621964803
"3416",2002,"11000",19175093,223,2969.86138804276,1524.06040740815
"3417",2002,"11103",1710000,9,3863.22629185048,1851.85185185185
"3418",2002,"11301",1255000,13,4105.68086220854,887.573964497041
"3419",2002,"11402",1140000,10,4900.56940597107,2800
"3420",2002,"11403",1720000,15,2902.46755002704,1733.33333333333
"3421",2002,"11411",30250,6,10000,3888.88888888889
"3422",2002,"11501",208000,3,7670.11834319527,5555.55555555555
"3423",2002,"11520",60000,1,10000,10000
"3424",2002,"116",263456.2813,4,6375.48283993577,3750
"3425",2002,"11704",4132000,38,2337.41046904241,554.016620498615
"3426",2002,"11804",2216000,12,3128.00163562669,1944.44444444444
"3427",2002,"11903",288000,6,3550.58834876543,2777.77777777778
"3428",2002,"12000",2582323.8301,26,2669.8162747182,2396.44970414201
"3429",2002,"12120",212000,6,7118.6365254539,7222.22222222222
"3430",2002,"12480",9307000,58,4855.92958754944,1539.83353151011
"3431",2002,"1320",101109,2,10000,10000
"3432",2002,"13790",112000,2,5312.5,5000
"3433",2002,"14100",1429000,7,2525.60550938987,1836.73469387755
"3434",2002,"14300",1366000,13,2208.9229400933,1005.91715976331
"3435",2002,"14400",4646000,28,1643.50060939576,714.285714285714
"3436",2002,"14600",3294000,38,4174.47741270489,3268.69806094183
"3437",2002,"1484",22235,2,8753.47703853733,5000
"3438",2002,"14900",1715000,37,1199.76880381474,737.764791818846
"3439",2002,"15000",1625000,27,936.092781065089,754.458161865569
"3440",2002,"15200",2355000,15,4632.24561735657,1822.22222222222
"3441",2002,"15700",12265000,65,2907.0046927072,1559.76331360947
"3442",2002,"15900",2330000,19,4138.82370277589,2465.37396121884
"3443",2002,"16000",8678326,148,1360.00897439664,2027.02702702703
"3444",2002,"1681",45292,2,10000,10000
"3445",2002,"17171",248780000,62,4729.49285769641,1129.03225806452
"3446",2002,"17200",1031000,12,2921.03849529757,1666.66666666667
"3447",2002,"17300",711000,20,1743.60709050663,900
"3448",2002,"17700",775000,17,1386.0395421436,934.256055363322
"3449",2002,"19400",5447473,28,1681.10294844424,1071.42857142857
"3450",2002,"20000",160807353.9845,731,1443.68650078789,2030.10698759827
"3451",2002,"20020",17628250,37,6501.26486450171,2315.55880204529
"3452",2002,"20104",6683984.5,111,1320.40056159948,658.225793360928
"3453",2002,"20302",1763500,19,2659.93656292673,4182.82548476454
"3454",2002,"20403",2248130,25,2917.03304721372,2320
"3455",2002,"20507",13244700.1301,37,2511.32289268006,825.420014609204
"3456",2002,"20704",4660000,15,6466.82108714472,1022.22222222222
"3457",2002,"20802",647000,6,3294.93632482818,2777.77777777778
"3458",2002,"20903",1328000,49,1321.09757327459,870.470637234486
"3459",2002,"21103",1039000,20,3728.57035666745,1900
"3460",2002,"21203",3572247,27,3695.79157180538,1111.11111111111
"3461",2002,"21303",2595000,54,1878.50059956712,2085.04801097394
"3462",2002,"21451",21970214.1602,139,1334.85304522258,449.769680658351
"3463",2002,"21602",4883152,57,1463.63353238387,951.061865189289
"3464",2002,"2349",36043,2,10000,10000
"3465",2002,"24B",70145892.8886,96,5858.41201154132,5054.25347222222
"3466",2002,"24H8",109635,3,4678.00051110942,3333.33333333333
"3467",2002,"26230",312414.5938,7,9143.57828680781,2244.89795918367
"3468",2002,"281",909601,1,10000,10000
"3469",2002,"29000",717857081,2653,3876.84389427597,3860.02149065222
"3470",2002,"2C31",119006,6,5156.58459088815,7222.22222222222
"3471",2002,"2NV",70000,1,10000,10000
"3472",2002,"30000",17737410.5,217,1369.21874694097,541.315381511606
"3473",2002,"30020",2082000,14,2209.25253833923,1530.61224489796
"3474",2002,"30106",5741000,10,4588.37520378678,2400
"3475",2002,"30211",11131000,130,1190.16617069748,459.171597633136
"3476",2002,"30303",4840000,52,1422.50785465474,525.147928994083
"3477",2002,"30401",352000,14,3552.58910123967,1530.61224489796
"3478",2002,"30503",2503704,39,1642.58991588085,664.036817882972
"3479",2002,"30605",2050160,13,4094.0685882684,2426.03550295858
"3480",2002,"30703",2074000,32,1489.06561375677,937.5
"3481",2002,"30803",2005000,26,2208.6406415634,2041.42011834319
"3482",2002,"30903",2102050,31,1625.62891798427,863.683662851197
"3483",2002,"31005",3101000,30,1703.12891754239,977.777777777778
"3484",2002,"31101",221934.8516,8,2167.81182972011,1562.5
"3485",2002,"31201",30000,4,8200,6250
"3486",2002,"31303",2585000,15,1953.36882550348,933.333333333333
"3487",2002,"31402",1996000,24,3826.63623840868,1145.83333333333
"3488",2002,"3142",14497533.4376,58,1357.80002721416,927.467300832342
"3489",2002,"3148",47527,2,10000,10000
"3490",2002,"31502",392000,5,2991.85235318617,2800
"3491",2002,"3151",14793725,97,5123.78044320185,5023.91327452439
"3492",2002,"3187",31905231.9685,250,9532.12322751833,5581.12
"3493",2002,"3198",28000,2,5408.16326530612,5000
"3494",2002,"31ME",2323024.0781,13,3518.29849734582,1715.97633136095
"3495",2002,"32KW",3875872,28,2816.46604934013,2500
"3496",2002,"3395",97110,6,2349.61253461575,2222.22222222222
"3497",2002,"343",0,1,0,10000
"3498",2002,"3434",872368,5,5105.07288166997,2800
"3499",2002,"345",423995.8674,8,7826.79950660031,4062.5
"3500",2002,"351",91134.8906,8,4667.53020672648,2500
"3501",2002,"355",226865,2,10000,10000
"3502",2002,"356",30500,5,10000,4400
"3503",2002,"3604",252080,1,10000,10000
"3504",2002,"3615",15438,3,9487.42476598613,3333.33333333333
"3505",2002,"385",0,1,0,10000
"3506",2002,"398",0,1,0,10000
"3507",2002,"3A94",217890,10,9033.86574975976,3400
"3508",2002,"3B19",64454,2,8923.29709109836,5000
"3509",2002,"3D47",1939809,22,8876.6607800381,9132.23140495868
"3510",2002,"3H6",250000,1,10000,10000
"3511",2002,"3J15",53235,1,10000,10000
"3512",2002,"3JL0",29919964,10,9722.06885700629,3000
"3513",2002,"3K06",-31732746.25,23,4669.35610814858,1758.03402646503
"3514",2002,"3K15",7472727.3984,10,7953.22541101237,3400
"3515",2002,"3K45",52745,1,10000,10000
"3516",2002,"3K47",440978,4,5231.35304210928,3750
"3517",2002,"3K84",62612,2,10000,10000
"3518",2002,"3R6",215328.0371,5,10000,5200
"3519",2002,"40000",10011290,271,461.542084083675,338.094524856688
"3520",2002,"40020",36992977,64,6350.81241161366,2416.9921875
"3521",2002,"40105",1014000,19,3338.19621939786,1800.5540166205
"3522",2002,"40201",229468.6704,7,4836.96398318084,2653.0612244898
"3523",2002,"40303",1838366.6543,8,5420.09594255739,2812.5
"3524",2002,"40433",74000,2,10000,10000
"3525",2002,"40603",492817,4,4667.11421708427,2500
"3526",2002,"40604",919000,24,1281.55337506705,1145.83333333333
"3527",2002,"40605",103000,2,10000,10000
"3528",2002,"40620",153000,3,10000,10000
"3529",2002,"40633",99000,3,5857.56555453525,5555.55555555555
"3530",2002,"40703",1305696,16,4274.75039580952,937.5
"3531",2002,"40804",105000,9,2927.11111111111,2592.59259259259
"3532",2002,"40819",57000,3,5075.40781779009,5555.55555555555
"3533",2002,"40820",190000,6,4676.45429362881,5000
"3534",2002,"40821",35000,1,10000,10000
"3535",2002,"40827",165000,5,5224.97704315886,5200
"3536",2002,"40830",30000,1,10000,10000
"3537",2002,"40832",25000,1,10000,10000
"3538",2002,"40904",1383454.75,13,3913.5913155325,1479.2899408284
"3539",2002,"41003",4975318.4395,24,2661.51194518094,763.888888888889
"3540",2002,"41103",2131000,17,2397.45078406161,1695.50173010381
"3541",2002,"41207",1289679.96,25,7112.22984536269,6480
"3542",2002,"41407",2877000,40,2957.10142973488,1112.5
"3543",2002,"4146",45290,4,8444.37171680494,6250
"3544",2002,"41601",657000,10,1806.94768367684,1200
"3545",2002,"41702",692443.5195,11,2877.40868048275,1074.38016528926
"3546",2002,"41804",2486195,39,1296.55769273385,650.887573964497
"3547",2002,"41M9",41424,1,10000,10000
"3548",2002,"4216",910,1,10000,10000
"3549",2002,"4232",76117,4,3688.58714044753,3750
"3550",2002,"435H",67200,1,10000,10000
"3551",2002,"4384",155571,5,9252.98835010378,4400
"3552",2002,"43ZP",3586490.5029,20,4104.24643866135,1800
"3553",2002,"4423",365097,2,10000,10000
"3554",2002,"4431",5083,1,10000,10000
"3555",2002,"4463",92879,3,5258.56152214338,5555.55555555555
"3556",2002,"447U",210417,8,3692.11382441748,5937.5
"3557",2002,"453B",69609,4,7132.45055865447,6250
"3558",2002,"4568",101815,3,10000,10000
"3559",2002,"45ZE",24599,2,6111.67079465171,5000
"3560",2002,"4639",24817,1,10000,10000
"3561",2002,"4670",25125,1,10000,10000
"3562",2002,"4H1",490273.73,5,8173.87203037678,3600
"3563",2002,"4M3",227000,2,10000,5000
"3564",2002,"4N0",3113.55,2,10000,10000
"3565",2002,"4P5",12600,5,9749.25673973293,2800
"3566",2002,"4R3",0,1,0,10000
"3567",2002,"4T1",97910.1016,1,10000,10000
"3568",2002,"4U3",0,2,0,5000
"3569",2002,"50000",25456035,252,769.963545628345,396.825396825397
"3570",2002,"50020",164000,10,3479.32778108269,4400
"3571",2002,"50102",480000,6,5441.23263888889,5000
"3572",2002,"50211",19249000,80,3435.12535372843,503.125
"3573",2002,"50302",3718000,16,2401.46579121214,1093.75
"3574",2002,"50401",458640,6,7409.03486137844,2222.22222222222
"3575",2002,"50507",9043500,85,3262.19043193217,3982.00692041523
"3576",2002,"50640",20357174,54,2506.84255221104,4300.41152263374
"3577",2002,"50703",2906910.25,24,1670.00901607181,937.5
"3578",2002,"50802",5108000,19,3545.02418856843,803.324099722992
"3579",2002,"50907",12024062,53,4580.43086619002,701.317194731221
"3580",2002,"51002",3392800,28,1810.14856710586,1403.0612244898
"3581",2002,"5114",562622,31,1802.26408086653,1779.39646201873
"3582",2002,"51200",1968000,33,1226.93952927431,560.146923783287
"3583",2002,"51306",10517000,11,7496.76244212079,1239.6694214876
"3584",2002,"51400",681927.4688,16,1447.29523147279,1171.875
"3585",2002,"51402",2577000,20,1692.97849743613,1000
"3586",2002,"51502",2926000,17,1882.06099041801,1487.8892733564
"3587",2002,"51603",1802000,19,3106.00750676582,3240.9972299169
"3588",2002,"51705",940000,8,3236.17021276596,1562.5
"3589",2002,"51803",3724000,17,1738.28339069247,726.643598615917
"3590",2002,"51806",220000,2,5006.61157024793,5000
"3591",2002,"51904",762000,10,4660.54932109864,2400
"3592",2002,"51A8",3528,1,10000,10000
"3593",2002,"51LA",498812,9,7921.98101216834,6296.2962962963
"3594",2002,"52800",2423000,27,4325.68349948755,1001.37174211248
"3595",2002,"53200",673000,14,3214.83058051041,1632.65306122449
"3596",2002,"54600",1353000,23,1283.68755971373,888.468809073724
"3597",2002,"55700",1939000,21,2116.86186288823,839.002267573696
"3598",2002,"569R",29782,3,6789.69982220003,5555.55555555555
"3599",2002,"56A1",166541.2422,5,5641.56721721825,4400
"3600",2002,"5A12",33350,2,10000,10000
"3601",2002,"5F48",597500,4,10000,10000
"3602",2002,"5G1",0,1,0,10000
"3603",2002,"5K3",0,3,0,5555.55555555555
"3604",2002,"60000",10575000,195,2013.33319920192,1030.63773833005
"3605",2002,"60020",166000,5,3554.94266221513,3600
"3606",2002,"60202",321179.0098,2,8506.6028244384,5000
"3607",2002,"60206",2838997.55,51,2359.42825913254,1618.60822760477
"3608",2002,"60300",718191.2397,4,8798.23087223957,3750
"3609",2002,"60305",1118000,6,7676.65874085145,5555.55555555555
"3610",2002,"60400",2074919.875,1,10000,10000
"3611",2002,"60605",943000,21,2229.33059244374,1836.73469387755
"3612",2002,"60611",7576674,54,1443.94206300579,534.979423868313
"3613",2002,"60803",1698400,19,2831.62990231697,1080.3324099723
"3614",2002,"60902",450585.9101,11,1827.76182382353,1735.53719008264
"3615",2002,"61005",5380979,37,4311.40460063084,2271.73119065011
"3616",2002,"61105",1299000,19,1635.57328754477,914.127423822714
"3617",2002,"61203",3058000,28,2584.36095525744,1326.5306122449
"3618",2002,"61403",2334000,21,3351.75260245145,2199.54648526077
"3619",2002,"61503",449000,9,2628.60799301591,2098.76543209876
"3620",2002,"61600",2475000,35,1873.78804210241,971.428571428571
"3621",2002,"61603",3915000,34,2382.46323127637,1089.96539792388
"3622",2002,"61702",843000,15,3189.74627418036,1911.11111111111
"3623",2002,"61704",998263,23,1106.81681384793,1115.31190926276
"3624",2002,"61804",421000,4,5074.72875914715,3750
"3625",2002,"63000",2577000,53,2802.31425452674,687.077251690993
"3626",2002,"63100",685000,3,5606.54270339389,3333.33333333333
"3627",2002,"6392",86420,1,10000,10000
"3628",2002,"6395",16431214,32,5296.21642257396,527.34375
"3629",2002,"63A9",383085,2,9069.72323787899,5000
"3630",2002,"6424",33594,2,10000,10000
"3631",2002,"645S",2680336,25,1660.88852430046,1104
"3632",2002,"64KX",589474,3,5157.68544531959,3333.33333333333
"3633",2002,"64WC",48320,7,5871.93763431428,5510.20408163265
"3634",2002,"6538",78512,1,10000,10000
"3635",2002,"66003",383000,4,6450.99496213077,3750
"3636",2002,"66030",17375886,73,2344.07127962712,613.623569149934
"3637",2002,"6740",47891,1,10000,10000
"3638",2002,"67T0",-33228,6,4957.90092285612,2777.77777777778
"3639",2002,"67TO",190200,2,10000,10000
"3640",2002,"68200",358000,12,1532.72369776224,1388.88888888889
"3641",2002,"70000",628461893.3594,997,5172.47960639175,2385.682624604
"3642",2002,"7103",47187,1,10000,10000
"3643",2002,"71400",60000,1,10000,10000
"3644",2002,"71500",315000,8,3614.91559586798,3125
"3645",2002,"71700",214000,3,3643.5496549917,3333.33333333333
"3646",2002,"72000",2103011612.836,1653,3410.28567224044,1405.69365713552
"3647",2002,"7245",471017,10,1923.849231803,1600
"3648",2002,"73500",998000,7,3225.4288135389,1836.73469387755
"3649",2002,"7442",0,1,0,10000
"3650",2002,"744L",37991,3,4266.89178557001,3333.33333333333
"3651",2002,"7512",602250.4374,13,2772.03399003925,3372.78106508876
"3652",2002,"7D15",1763,1,10000,10000
"3653",2002,"7D28",5485,3,6068.00348011358,5555.55555555555
"3654",2002,"7D79",17898,2,5455.48088576979,5000
"3655",2002,"7MN1",1975386,22,1401.26980654699,1033.05785123967
"3656",2002,"80000",2049767.8003,47,1677.42942410927,366.681756450883
"3657",2002,"80021",509000,6,3337.83642953362,2222.22222222222
"3658",2002,"80121",63000,1,10000,10000
"3659",2002,"80500",7585000,128,981.808518792888,1790.771484375
"3660",2002,"80800",1411000,15,2098.1551279508,755.555555555556
"3661",2002,"81200",363000,7,1977.32395328188,1428.57142857143
"3662",2002,"81300",625000,7,4999.3472,1836.73469387755
"3663",2002,"81400",254421008,118,9370.83740073765,494.110887675955
"3664",2002,"8173",734556.2247,11,5020.67854837673,3884.29752066116
"3665",2002,"8191",0,2,0,5000
"3666",2002,"8197",578528,2,8207.63217964717,5000
"3667",2002,"81K1",29963,1,10000,10000
"3668",2002,"82100",1673000,9,5207.76697086636,5061.72839506173
"3669",2002,"82120",552000,15,4133.06028145348,4844.44444444444
"3670",2002,"82CS",572477,11,2029.16369339238,2561.98347107438
"3671",2002,"82FT",216244.75,6,3429.01229672164,3333.33333333333
"3672",2002,"82MK",104932,3,4086.85441663989,3333.33333333333
"3673",2002,"82X9",3783152.0393,59,821.36828136396,485.492674518817
"3674",2002,"83600",2623000,34,1061.99026210119,640.138408304498
"3675",2002,"8371",2105802.125,8,8783.94818113422,2812.5
"3676",2002,"8379",32349,1,10000,10000
"3677",2002,"8399",54793,1,10000,10000
"3678",2002,"83D5",1472300,3,8000.63399721274,3333.33333333333
"3679",2002,"83LO",3400,1,10000,10000
"3680",2002,"84000",161000,5,4139.88657844991,4400
"3681",2002,"8417",18761,3,4162.74572429226,3333.33333333333
"3682",2002,"8447",4708000,23,10000,10000
"3683",2002,"84800",171000,4,3830.58034950925,3750
"3684",2002,"8499",118962,1,10000,10000
"3685",2002,"84M8",1458418.75,15,7888.49100929465,4755.55555555555
"3686",2002,"84N8",132654,2,9850.36838816617,5000
"3687",2002,"8501",30394,1,10000,10000
"3688",2002,"8508",36425,2,10000,10000
"3689",2002,"85300",5547000,54,2368.84219720954,877.914951989026
"3690",2002,"85500",1544000,20,2359.68570125759,700
"3691",2002,"86010",60000,1,10000,10000
"3692",2002,"88000",5375000,48,970.436257436452,529.513888888889
"3693",2002,"8E49",189127,3,7029.96003030598,5555.55555555555
"3694",2002,"90000",3435000,72,916.320351548513,1234.56790123457
"3695",2002,"9182",107673,1,10000,10000
"3696",2002,"91H2",20857,2,10000,10000
"3697",2002,"91S8",7921952.5,21,4820.70268762478,1383.21995464853
"3698",2002,"91U4",184000,1,10000,10000
"3699",2002,"91U9",332621,20,3051.80158511189,2050
"3700",2002,"91W8",646025,29,9476.26927515299,9334.12604042806
"3701",2002,"91Y9",73014,1,10000,10000
"3702",2002,"9255",71478,1,10000,10000
"3703",2002,"94500",1278000,27,1254.28278241873,754.458161865569
"3704",2002,"94700",660000,14,2314.23324150597,1428.57142857143
"3705",2002,"94TZ",1302764.3515,30,1727.06717342516,1288.88888888889
"3706",2002,"95000",87000,4,5864.15856583765,3750
"3707",2002,"95CV",526240,7,3371.69214185024,1428.57142857143
"3708",2002,"97000",6109000,75,1097.68811963789,624
"3709",2002,"9A13",127856,11,3133.54656025242,2727.27272727273
"3710",2002,"9A28",486819,7,3429.31495285012,5510.20408163265
"3711",2002,"9A40",75596.22,8,6018.10493346284,4375
